приложения недоступен	application unavailable	Anwendung nicht verfügbar	aplicación no disponible
Показать слово	Show word	Wort anzeigen	Mostrar palabra
Не называйте слово напрямую — объясняйте через признаки.	Do not name the word — describe its features.	Nenne das Wort nicht — beschreibe seine Merkmale.	No digas la palabra: describe sus características.
Следующий игрок	Next player	Nächster Spieler	Siguiente jugador
Ошибка загрузки персонажей	Error loading characters	Fehler beim Laden der Personen	Error al cargar personajes
Файл персонажей не загрузился или содержит неверный формат.	Character file could not load or has an invalid format.	Personendatei konnte nicht geladen werden oder hat ein ungültiges Format.	No se pudo cargar el archivo de personajes o su formato no es válido.
Раунд окончен	Round over	Runde beendet	Ronda terminada
Оба игрока получили персонажей	Both players have their characters	Beide Spieler haben ihre Personen	Ambos jugadores tienen sus personajes
Теперь можно играть в отгадывание или начать новый раунд.	Now start guessing or begin a new round.	Jetzt könnt ihr raten oder eine neue Runde beginnen.	Ahora podéis adivinar o empezar otra ronda.
Нажмите кнопку, посмотрите персонажа и никому его не показывайте.	Tap the button, view your character and keep it secret.	Tippe auf die Schaltfläche, sieh dir deine Person an und halte sie geheim.	Pulsa el botón, mira tu personaje y no se lo enseñes a nadie.
Показать персонажа	Show character	Person anzeigen	Mostrar personaje
Опишите персонажа так, чтобы другой игрок смог угадать.	Describe the character so the other player can guess.	Beschreibe die Person, damit der andere Spieler sie erraten kann.	Describe el personaje para que el otro jugador lo adivine.
животное	animal	Tier	animal
Лучшее время	Best time	Bestzeit	Mejor tiempo
Меньше ходов	Fewest moves	Wenigste Züge	Menos movimientos
Точность	Accuracy	Genauigkeit	Precisión
Книга путешествий	Journey book	Reisebuch	Libro de viajes
Лучшие результаты хранятся только на этом устройстве.	Best results are saved only on this device.	Bestleistungen werden nur auf diesem Gerät gespeichert.	Los mejores resultados se guardan solo en este dispositivo.
игр	games	Spiele	partidas
пар найдено	pairs found	Paare gefunden	parejas encontradas
нет рекорда	no record	kein Rekord	sin récord
Игра на внимание и память	A game of focus and memory	Ein Spiel für Aufmerksamkeit und Gedächtnis	Un juego de atención y memoria
Найди пару для ковчега	Find pairs for the ark	Finde Paare für die Arche	Encuentra parejas para el arca
Открывайте по две карточки, запоминайте животных и соберите всех попарно.	Flip two cards at a time, remember the animals and find every pair.	Decke jeweils zwei Karten auf, merke dir die Tiere und finde alle Paare.	Voltea dos cartas, recuerda los animales y encuentra todas las parejas.
Как будем играть?	How shall we play?	Wie wollen wir spielen?	¿Cómo jugamos?
Кого возьмём в путешествие?	Who is coming on the journey?	Wer kommt mit auf die Reise?	¿A quién llevamos de viaje?
Выберите поле	Choose a board	Spielfeld wählen	Elige un tablero
Уже сыграно	Games played	Bereits gespielt	Partidas jugadas
найдено пар	pairs found	Paare gefunden	parejas encontradas
Сюрприз	Surprise	Überraschung	Sorpresa
Карточка	Card	Karte	Carta
закрыта	face down	verdeckt	boca abajo
Среди карточек спрятан сюрприз	A surprise is hidden among the cards	Unter den Karten ist eine Überraschung versteckt	Hay una sorpresa escondida entre las cartas
он сразу отправится на борт.	it will go straight aboard.	sie kommt sofort an Bord.	subirá a bordo de inmediato.
Каждый ход — это две открытые карточки.	Each turn reveals two cards.	Jeder Zug deckt zwei Karten auf.	En cada turno se revelan dos cartas.
путь	journey	Reise	viaje
Начать это поле заново	Restart this board	Dieses Feld neu starten	Reiniciar este tablero
Прогресс путешествия	Journey progress	Reisefortschritt	Progreso del viaje
Животные на борту	Animals aboard	Tiere an Bord	Animales a bordo
Пары	Pairs	Paare	Parejas
Выберите первую карточку	Choose the first card	Wähle die erste Karte	Elige la primera carta
Комбо ×2	Combo ×2	Kombo ×2	Combo ×2
Настройки	Settings	Einstellungen	Ajustes
пара найдена	pair found	Paar gefunden	pareja encontrada
открыта	face up	aufgedeckt	boca arriba
Все пары найдены. Ковчег готов к путешествию!	All pairs found. The ark is ready to sail!	Alle Paare gefunden. Die Arche ist bereit zur Reise!	¡Todas las parejas encontradas! ¡El arca está lista para viajar!
Новый рекорд времени!	New time record!	Neue Bestzeit!	¡Nuevo récord de tiempo!
Новый рекорд по ходам!	New move record!	Neuer Zugrekord!	¡Nuevo récord de movimientos!
Отличное путешествие!	A wonderful journey!	Eine tolle Reise!	¡Un viaje fantástico!
Подсказки	Hints	Tipps	Pistas
Ковчег собран!	The ark is ready!	Die Arche ist bereit!	¡El arca está lista!
Все животные нашли свою пару и благополучно поднялись на борт.	All animals found their partners and boarded safely.	Alle Tiere haben ihren Partner gefunden und sind sicher an Bord.	Todos los animales encontraron su pareja y subieron a bordo a salvo.
Ещё один путь	Another journey	Noch eine Reise	Otro viaje
Другой режим	Another mode	Anderer Modus	Otro modo
уже на борту. Открытая карточка всё ещё ждёт пару.	is aboard. The revealed card still needs a match.	ist an Bord. Die offene Karte wartet noch auf ihr Paar.	ya está a bordo. La carta revelada aún espera su pareja.
найден — сюрприз уже на борту!	found — the surprise is aboard!	gefunden — die Überraschung ist an Bord!	encontrado: ¡la sorpresa está a bordo!
На карточке	On the card	Auf der Karte	En la carta
Найдите такую же.	Find its match.	Finde die passende Karte.	Encuentra otra igual.
Серия из	Streak of	Serie von	Racha de
пар! Так держать.	pairs! Keep it up.	Paaren! Weiter so.	parejas. ¡Sigue así!
Пара	Pair	Paar	Pareja
уже на борту!	already aboard!	bereits an Bord!	¡ya está a bordo!
Пока не пара. Запомните карточки — они скоро закроются.	Not a pair. Remember the cards before they turn over.	Kein Paar. Merke dir die Karten, bevor sie sich wieder umdrehen.	No son pareja. Recuerda las cartas antes de que se den la vuelta.
Попробуйте снова	Try again	Versuche es erneut	Inténtalo de nuevo
Сначала завершите текущий ход	Finish the current turn first	Beende zuerst den aktuellen Zug	Termina primero el turno actual
Все обычные пары уже найдены — осталось открыть сюрприз	All regular pairs found — reveal the surprise	Alle normalen Paare gefunden — decke die Überraschung auf	Ya están todas las parejas: descubre la sorpresa
Подсказка показала пару. К времени добавлено 5 секунд.	The hint revealed a pair. 5 seconds added to your time.	Der Tipp hat ein Paar gezeigt. 5 Sekunden wurden zur Zeit hinzugefügt.	La pista mostró una pareja. Se añadieron 5 segundos a tu tiempo.
Запомните эту пару — карточки скоро закроются.	Remember this pair before the cards turn over.	Merke dir dieses Paar, bevor die Karten sich umdrehen.	Recuerda esta pareja antes de que las cartas se den la vuelta.
Теперь найдите показанную пару	Now find the pair you saw	Finde jetzt das gezeigte Paar	Ahora encuentra la pareja mostrada
ПОНЯТНО	GOT IT	VERSTANDEN	ENTENDIDO
ДАЛЬШЕ	NEXT	WEITER	SIGUIENTE
Новый рекорд! Прошлый лучший результат превзойдён.	New record! You beat your personal best.	Neuer Rekord! Du hast deine Bestleistung übertroffen.	¡Nuevo récord! Has superado tu mejor resultado.
Лучший результат	Best result	Bestleistung	Mejor resultado
Лотосы идут подряд	Lotus streak	Lotusserie	Racha de lotos
Щит выдержал	Shield held	Schild hat gehalten	El escudo resistió
Но он был один	But it was your only one	Aber es war dein einziger	Pero era el único
Путь по Нилу прерван.	Your Nile journey has ended.	Deine Nilreise ist beendet.	Tu viaje por el Nilo ha terminado.
Удар!	Hit!	Treffer!	¡Golpe!
Осталось сердец	Hearts remaining	Verbleibende Herzen	Corazones restantes
Щит веры	Shield of Faith	Schild des Glaubens	Escudo de la fe
Один удар пройдёт мимо	Blocks one hit	Blockiert einen Treffer	Bloquea un golpe
Свет Мириам	Miriam Light	Miriams Licht	Luz de Miriam
Лотосы сами идут в руки	Lotuses come to you	Lotusblüten kommen zu dir	Los lotos vienen hacia ti
Дыхание ветра	Breath of Wind	Windhauch	Aliento del viento
Течение несёт вперёд	The current carries you forward	Die Strömung trägt dich vorwärts	La corriente te lleva hacia delante
Милость	Grace	Gnade	Gracia
Сердце восстановлено	Heart restored	Herz wiederhergestellt	Corazón recuperado
метров	meters	Meter	metros
сбой в кадре	frame error	Bildfehler	error de fotograma
кадр падает подряд, уходим в запасной режим	repeated frame errors; switching to fallback	wiederholte Bildfehler; Wechsel in Ersatzmodus	errores repetidos; cambiando al modo alternativo
Выключить звук	Mute sound	Ton ausschalten	Silenciar
Включить звук	Enable sound	Ton einschalten	Activar sonido
Ещё ни одного заплыва — самое время начать.	No journeys yet — time to start.	Noch keine Fahrt — Zeit zu starten.	Aún no has navegado: es hora de empezar.
Лучший заплыв	Best journey	Beste Fahrt	Mejor viaje
ОТПРАВЛЯЕМСЯ	LET US GO	LOS GEHT’S	VAMOS
сцена не собралась, уходим в запасной режим	scene failed; switching to fallback	Szene fehlgeschlagen; Wechsel in Ersatzmodus	falló la escena; cambiando al modo alternativo
Не удалось загрузить колоду Квартета	Could not load Quartet deck	Quartettstapel konnte nicht geladen werden	No se pudo cargar la baraja de Cuarteto
Колода Квартета повреждена	Quartet deck is damaged	Quartettstapel ist beschädigt	La baraja de Cuarteto está dañada
Онлайн-игра	Online game	Onlinespiel	Juego en línea
Сейчас ход другого игрока	Another player is taking their turn	Ein anderer Spieler ist am Zug	Es el turno de otro jugador
Сначала выбери игрока	Choose a player first	Wähle zuerst einen Spieler	Primero elige un jugador
Теперь выбери недостающую карту	Now choose a missing card	Wähle jetzt eine fehlende Karte	Ahora elige una carta que te falte
Запрос отправлен	Request sent	Anfrage gesendet	Petición enviada
карту	card	Karte	carta
Спрашиваем	Asking	Fragen nach	Pidiendo
Собери больше квартетов	Collect the most quartets	Sammle die meisten Quartette	Reúne más cuartetos
Выбирай соперника, отмечай нужную карту и собирай группы по четыре. Успешный запрос сохраняет ход за тобой.	Choose an opponent, select a card and collect sets of four. A successful request lets you keep your turn.	Wähle einen Mitspieler und eine Karte und sammle Vierergruppen. Nach einer erfolgreichen Anfrage bleibst du am Zug.	Elige un rival y una carta y reúne grupos de cuatro. Si aciertas, conservas el turno.
выбери соперника	choose an opponent	wähle einen Mitspieler	elige un rival
отметь недостающую	select the missing card	markiere die fehlende Karte	elige la que te falta
Запрос	Request	Anfrage	Petición
подтверди действие	confirm action	bestätige die Aktion	confirma la acción
Имя игрока	Player name	Spielername	Nombre del jugador
не настроен	not configured	nicht eingerichtet	sin configurar
не подключён	not connected	nicht verbunden	sin conectar
должен быть указан	must be specified	muss angegeben werden	debe indicarse
Ошибка	Error	Fehler	Error
Квартет не запустился	Quartet could not start	Quartett konnte nicht starten	Cuarteto no pudo iniciarse
Создаём…	Creating…	Wird erstellt…	Creando…
Открываем лобби…	Opening lobby…	Lobby wird geöffnet…	Abriendo sala…
Входим…	Joining…	Beitritt…	Entrando…
Подключаемся к комнате…	Connecting to room…	Verbindung zum Raum…	Conectando con la sala…
Переподключение	Reconnecting	Neu verbinden	Reconectando
Ошибка сервера	Server error	Serverfehler	Error del servidor
Связь потеряна	Connection lost	Verbindung verloren	Conexión perdida
Связь потеряна. Переподключаемся…	Connection lost. Reconnecting…	Verbindung verloren. Neu verbinden…	Conexión perdida. Reconectando…
Ошибка связи	Connection error	Verbindungsfehler	Error de conexión
Переподключаемся…	Reconnecting…	Neu verbinden…	Reconectando…
Ждём ещё игрока	Waiting for another player	Warten auf einen weiteren Spieler	Esperando a otro jugador
Ведущий начнёт игру, когда все будут готовы.	The host will start when everyone is ready.	Der Gastgeber startet, wenn alle bereit sind.	El anfitrión empezará cuando todos estén listos.
ты	you	du	tú
Последние действия	Recent actions	Letzte Aktionen	Acciones recientes
партия в реальном времени	real-time game	Spiel in Echtzeit	partida en tiempo real
Вся история	Full history	Gesamter Verlauf	Todo el historial
Выйти из партии	Leave game	Partie verlassen	Salir de la partida
ВАШ ХОД	YOUR TURN	DU BIST DRAN	TU TURNO
ОЖИДАНИЕ	WAITING	WARTEN	ESPERANDO
Ваш ход начался	Your turn has started	Dein Zug hat begonnen	Ha empezado tu turno
Ход игрока	Player turn	Spieler am Zug	Turno del jugador
Выберите соперника и карту. После выбора подтвердите запрос.	Choose an opponent and a card, then confirm your request.	Wähle einen Mitspieler und eine Karte und bestätige dann die Anfrage.	Elige un rival y una carta y confirma la petición.
Ваши игровые действия временно заблокированы. Следите за партией — очередь переключится автоматически.	Your actions are temporarily disabled. Watch the game; turns change automatically.	Deine Aktionen sind vorübergehend gesperrt. Verfolge die Partie; die Züge wechseln automatisch.	Tus acciones están desactivadas temporalmente. Sigue la partida; los turnos cambian solos.
Осталось	Remaining	Übrig	Restantes
Не в сети	Offline	Offline	Sin conexión
Сейчас ходит	Now playing	Jetzt am Zug	Juega ahora
В руке больше нет карт.	No cards left in your hand.	Keine Karten mehr auf der Hand.	No quedan cartas en tu mano.
Квартеты в руке	Quartets in hand	Quartette auf der Hand	Cuartetos en tu mano
Листайте квартеты	Browse quartets	Quartette durchblättern	Explora los cuartetos
Осталась 1 карта	1 card left	Noch 1 Karte	Falta 1 carta
Половина собрана	Half collected	Zur Hälfte gesammelt	Mitad reunida
Квартет открыт	Quartet started	Quartett begonnen	Cuarteto iniciado
Собрано	Collected	Gesammelt	Reunidas
из 4	of 4	von 4	de 4
карта у вас	you have this card	du hast diese Karte	tienes esta carta
В руке	In hand	Auf der Hand	En la mano
выбрана	selected	ausgewählt	seleccionada
Нужно собрать	Collect these	Noch sammeln	Falta reunir
недостающая карта	missing card	fehlende Karte	carta que falta
Недоступно	Unavailable	Nicht verfügbar	No disponible
Ждите хода	Wait for your turn	Warte auf deinen Zug	Espera tu turno
Ходит	Playing	Am Zug	Juega
Действий пока нет.	No actions yet.	Noch keine Aktionen.	Aún no hay acciones.
Партия завершена	Game over	Partie beendet	Partida terminada
Победа!	Victory!	Sieg!	¡Victoria!
Игра завершена	Game finished	Spiel beendet	Juego terminado
Новая партия	New game	Neue Partie	Nueva partida
Ведущий может запустить новую партию в этой же комнате.	The host can start a new game in this room.	Der Gastgeber kann in diesem Raum eine neue Partie starten.	El anfitrión puede iniciar otra partida en esta sala.
у вас	you have	bei dir	en tu mano
игрока	player	Spieler	jugador
Собран квартет	Quartet completed	Quartett vollständig	Cuarteto completado
получили	received	erhalten	recibiste
получил	received	erhielt	recibió
Ваш запрос	Your request	Deine Anfrage	Tu petición
Запрос игрока	Player request	Spieleranfrage	Petición del jugador
Партия продолжается	Game continues	Partie geht weiter	La partida continúa
Партия началась	Game started	Partie gestartet	Partida iniciada
Считаем итоговые квартеты	Counting final quartets	Abschließende Quartette werden gezählt	Contando los cuartetos finales
Предыдущий ход завершён	Previous turn ended	Vorheriger Zug beendet	Turno anterior terminado
закончил ход	ended their turn	hat den Zug beendet	terminó su turno
теперь ходите вы	it is your turn now	jetzt bist du dran	ahora es tu turno
Ход завершён	Turn ended	Zug beendet	Turno terminado
следующий игрок	next player	nächster Spieler	siguiente jugador
теперь	now	jetzt	ahora
Успешный запрос	Successful request	Erfolgreiche Anfrage	Petición acertada
Карта получена	Card received	Karte erhalten	Carta recibida
ваш ход продолжается	your turn continues	du bleibst am Zug	tu turno continúa
Ход продолжается	Turn continues	Zug geht weiter	El turno continúa
получил карту и ходит ещё раз	received a card and plays again	hat eine Karte erhalten und spielt erneut	recibió una carta y juega otra vez
получена	received	erhalten	recibida
получил у вас	received from you	von dir erhalten	recibió de ti
Карты нет — ваш ход завершён	No card — your turn is over	Keine Karte — dein Zug endet	No tiene la carta: termina tu turno
вошёл в комнату	joined the room	ist dem Raum beigetreten	entró en la sala
вышел из комнаты	left the room	hat den Raum verlassen	salió de la sala
выберите соперника и карту	choose an opponent and a card	wähle einen Mitspieler und eine Karte	elige un rival y una carta
Первым ходит	First turn	Erster Zug	Primer turno
Нет соединения с комнатой	No connection to room	Keine Verbindung zum Raum	Sin conexión a la sala
Выйти из партии? Твои оставшиеся карты будут перераспределены между игроками.	Leave the game? Your remaining cards will be redistributed among players.	Partie verlassen? Deine übrigen Karten werden an die anderen Spieler verteilt.	¿Salir de la partida? Tus cartas restantes se repartirán entre los demás.
Выйти из комнаты?	Leave room?	Raum verlassen?	¿Salir de la sala?
Код скопирован	Code copied	Code kopiert	Código copiado
Присоединяйся к игре «Квартет». Код комнаты	Join Quartet. Room code	Tritt Quartett bei. Raumcode	Únete a Cuarteto. Código de sala
Как играть в Квартет	How to play Quartet	So spielst du Quartett	Cómo jugar a Cuarteto
В каждой группе четыре карты. Цель — собрать больше полных квартетов.	Each group has four cards. Collect the most complete quartets.	Jede Gruppe hat vier Karten. Sammle die meisten vollständigen Quartette.	Cada grupo tiene cuatro cartas. Reúne más cuartetos completos.
Когда сверху появляется	When the top shows	Wenn oben erscheint	Cuando arriba aparezca
Ваш ход»	Your turn”	Du bist dran“	Tu turno»
сначала выберите соперника.	choose an opponent first.	wähle zuerst einen Mitspieler.	primero elige un rival.
Затем листайте квартеты в своей руке и выберите одну недостающую карту.	Then browse your quartets and choose a missing card.	Blättere dann durch deine Quartette und wähle eine fehlende Karte.	Después explora tus cuartetos y elige una carta que te falte.
Проверьте выбор в нижней панели и нажмите	Check your selection below and tap	Prüfe deine Auswahl unten und tippe auf	Revisa tu selección abajo y pulsa
Спросить карту»	Ask for card”	Nach Karte fragen“	Pedir carta»
Если карта есть у соперника, она сразу переходит к вам и ваш ход продолжается.	If the opponent has the card, you receive it and keep your turn.	Hat der Mitspieler die Karte, bekommst du sie und bleibst am Zug.	Si el rival tiene la carta, la recibes y sigues jugando.
Если карты нет или вышел таймер, ход завершается и автоматически переходит следующему игроку.	If they do not have it or time runs out, the turn passes to the next player.	Fehlt die Karte oder läuft die Zeit ab, ist automatisch der nächste Spieler dran.	Si no la tiene o se acaba el tiempo, el turno pasa al siguiente jugador.
Когда все четыре карты группы собраны, квартет засчитывается автоматически.	Collect all four cards and the quartet is counted automatically.	Sind alle vier Karten gesammelt, zählt das Quartett automatisch.	Al reunir las cuatro cartas, el cuarteto se cuenta automáticamente.
Ошибка: Библиотека	Error: library	Fehler: Bibliothek	Error: biblioteca
не подключена!	is not loaded!	ist nicht geladen!	no está cargada!
Открывай буквы и береги пламя меноры.	Reveal letters and protect the menorah flame.	Decke Buchstaben auf und bewahre die Menoraflamme.	Revela letras y protege la llama de la menorá.
Победа! Свет сохранён.	Victory! The light is safe.	Sieg! Das Licht bleibt erhalten.	¡Victoria! La luz está a salvo.
Светильник угас. Загаданное слово	The lamp went out. The word was	Die Lampe ist erloschen. Das Wort war	La lámpara se apagó. La palabra era
Сбросить уровень	Reset level	Level zurücksetzen	Reiniciar nivel
Угасание	Flames lost	Erloschene Flammen	Llamas apagadas
Снизу скрытое слово, сверху связанные подсказки	Hidden word below, related hints above	Unten das versteckte Wort, oben passende Hinweise	Palabra oculta abajo, pistas relacionadas arriba
не удалось запустить 3	could not start 3	konnte 3 nicht starten	no se pudo iniciar 3
сцену, играем без неё	scene; playing without it	Szene; Spiel läuft ohne sie	escena; se juega sin ella
Не удалось загрузить слова.	Could not load words.	Wörter konnten nicht geladen werden.	No se pudieron cargar las palabras.
Не удалось загрузить игру «Священное слово».	Could not load Sacred Word.	Heiliges Wort konnte nicht geladen werden.	No se pudo cargar Palabra sagrada.
Сервер ответил	Server replied	Server antwortete	El servidor respondió
Код комнаты — от четырёх символов	Room code must have at least four characters	Raumcode muss mindestens vier Zeichen haben	El código de sala debe tener al menos cuatro caracteres
Комната закрыта	Room closed	Raum geschlossen	Sala cerrada
Действие не прошло	Action failed	Aktion fehlgeschlagen	La acción falló
Онлайн пока не настроен	Online mode is not configured	Onlinemodus noch nicht eingerichtet	Modo en línea sin configurar
нужен адрес воркера в	worker address required in	Worker-Adresse erforderlich in	se necesita la dirección del worker en
Играть на одном телефоне	Play on one phone	Auf einem Handy spielen	Jugar en un teléfono
Соглядатай по сети	Spy online	Spion online	Espía en línea
Каждый играет со своего телефона. Роль видит только её хозяин, а обсуждать можно прямо в игре — чат встроен.	Everyone plays on their own phone. Only you see your role; discuss in the built-in chat.	Jeder spielt auf dem eigenen Handy. Nur du siehst deine Rolle; diskutiert im integrierten Chat.	Cada uno juega en su teléfono. Solo tú ves tu rol; debatid en el chat integrado.
Как вас звать	Your name	Dein Name	Tu nombre
или войти по коду	or join with a code	oder mit Code beitreten	o entrar con código
Ждём комнату…	Waiting for room…	Warten auf Raum…	Esperando sala…
Скопировать код	Copy code	Code kopieren	Copiar código
на связи	connected	verbunden	conectados
Соглядатаев	Spies	Spione	Espías
Обсуждение, мин	Discussion, min	Diskussion, Min.	Debate, min
Настройки ведущего	Host settings	Gastgebereinstellungen	Ajustes del anfitrión
обсуждение	discussion	Diskussion	debate
мин	min	Min.	min
Нужно минимум	Minimum required	Mindestens benötigt	Se necesitan al menos
Раздать роли	Deal roles	Rollen verteilen	Repartir roles
Ждём ведущего	Waiting for host	Warten auf Gastgeber	Esperando al anfitrión
Он раздаст роли, когда все соберутся.	The host will deal roles when everyone is here.	Der Gastgeber verteilt die Rollen, wenn alle da sind.	Repartirá los roles cuando estéis todos.
Комната собирается	Players are gathering	Spieler sammeln sich	Los jugadores se reúnen
Передайте код друзьям. Партия начнётся, когда ведущий нажмёт «Раздать роли».	Share the code with friends. The game starts when the host taps Deal roles.	Teile den Code mit Freunden. Das Spiel beginnt, wenn der Gastgeber Rollen verteilen antippt.	Comparte el código con amigos. La partida empieza cuando el anfitrión pulsa Repartir roles.
Вы соглядатай	You are a spy	Du bist ein Spion	Eres un espía
Локация неизвестна	Location unknown	Ort unbekannt	Lugar desconocido
Слушайте и не выдайте себя	Listen and keep your identity secret	Höre zu und verrate dich nicht	Escucha y no te delates
Локация	Location	Ort	Lugar
Найдите того, кто её не знает	Find who does not know it	Finde die Person, die ihn nicht kennt	Encuentra a quien no lo conoce
Запомнил	Got it	Gemerkt	Lo recuerdo
Ещё не готовы	Not ready yet	Noch nicht bereit	Aún no están listos
Все готовы	Everyone is ready	Alle bereit	Todos listos
Начать обсуждение	Start discussion	Diskussion starten	Empezar debate
Ваша роль	Your role	Deine Rolle	Tu rol
Смотрите только свой экран. Никто другой вашу роль не увидит.	Look only at your screen. No one else can see your role.	Sieh nur auf deinen Bildschirm. Niemand sonst sieht deine Rolle.	Mira solo tu pantalla. Nadie más verá tu rol.
Нажмите, чтобы посмотреть	Tap to view	Zum Ansehen tippen	Pulsa para ver
круг	round	Runde	ronda
Кого-то уже выгнали, но роли откроются только в конце. Смотрите, кто остался.	Someone has been eliminated, but roles stay hidden until the end. Watch who remains.	Jemand wurde ausgeschlossen, aber die Rollen bleiben bis zum Ende geheim. Achte auf die übrigen Spieler.	Ya han expulsado a alguien, pero los roles se revelan al final. Observa quién queda.
Задавайте вопросы по очереди. Соглядатай не знает локацию, но пытается её вычислить.	Take turns asking questions. The spy does not know the location and tries to work it out.	Stellt abwechselnd Fragen. Der Spion kennt den Ort nicht und versucht ihn herauszufinden.	Haced preguntas por turnos. El espía no conoce el lugar e intenta descubrirlo.
Перейти к голосованию	Go to voting	Zur Abstimmung	Ir a la votación
Обсуждение	Discussion	Diskussion	Debate
Вы выбыли: голосовать и писать больше нельзя, но партию досмотрите.	You are out: you can no longer vote or chat, but you can watch.	Du bist ausgeschieden: Du kannst nicht mehr abstimmen oder schreiben, aber zuschauen.	Has sido eliminado: no puedes votar ni escribir, pero puedes mirar.
Кем они были — станет известно в конце. За столом осталось	Their roles will be revealed at the end. Players remaining:	Ihre Rollen werden am Ende aufgedeckt. Verbleibende Spieler:	Sus roles se revelarán al final. Quedan en la mesa
человек.	people.	Personen.	personas.
Выгнаны	Eliminated	Ausgeschieden	Expulsados
Назвать локацию	Name the location	Ort nennen	Decir el lugar
Угадаете — победа ваша сразу. Ошибётесь — из-за стола уйдёте вы, а напарник доиграет.	Guess correctly to win at once. A wrong guess eliminates you; your partner plays on.	Rate richtig und gewinne sofort. Bei einer falschen Antwort scheidest du aus; dein Partner spielt weiter.	Si aciertas, ganas al instante. Si fallas, quedas eliminado y tu compañero sigue.
Например: Иерусалим	For example: Jerusalem	Zum Beispiel: Jerusalem	Por ejemplo: Jerusalén
Назвать	Submit guess	Antwort nennen	Responder
Ждём ещё	Still waiting for	Warten noch auf	Faltan
Все проголосовали	Everyone has voted	Alle haben abgestimmt	Todos han votado
Голосование	Voting	Abstimmung	Votación
Кто, по-вашему, соглядатай? Набравший больше всех голосов уходит из-за стола	Who do you think is a spy? The player with the most votes is eliminated	Wer ist deiner Meinung nach ein Spion? Wer die meisten Stimmen erhält, scheidet aus	¿Quién crees que es el espía? Quien reciba más votos queda eliminado
но его роль откроется только тогда, когда партия закончится.	but their role is only revealed when the game ends.	aber seine Rolle wird erst am Spielende aufgedeckt.	pero su rol solo se revela al terminar la partida.
Победа соглядата	Spy victory	Sieg der Spione	Victoria de los espías
Соглядатай назвал	The spy named	Der Spion nannte	El espía dijo
Соглядатаев стало не меньше, чем горожан: голосованием их уже не пересилить.	Spies now equal or outnumber citizens, so they cannot be outvoted.	Es gibt mindestens so viele Spione wie Bürger. Sie können nicht mehr überstimmt werden.	Hay tantos espías como ciudadanos o más: ya no se les puede ganar votando.
Стол выгнал последнего соглядатая.	The last spy was eliminated.	Der letzte Spion wurde ausgeschlossen.	Se expulsó al último espía.
соглядатай	spy	Spion	espía
горожанин	citizen	Bürger	ciudadano
Кого выгнали	Who was eliminated	Wer ausgeschieden ist	A quién expulsaron
Ещё партию	Play another game	Noch eine Partie	Otra partida
В лобби	To lobby	Zur Lobby	A la sala de espera
Он начнёт следующую партию.	The host will start the next game.	Der Gastgeber startet die nächste Partie.	El anfitrión iniciará la siguiente partida.
ведущий	host	Gastgeber	anfitrión
выгнан	eliminated	ausgeschieden	expulsado
готов	ready	bereit	listo
голос	vote	Stimme	voto
Чат соглядатаев	Spy chat	Spionchat	Chat de espías
Свернуть	Collapse	Einklappen	Contraer
Открыть	Open	Öffnen	Abrir
Свои	Spies	Spione	Espías
Общий	Everyone	Alle	General
Эту переписку видят только соглядатаи. Стол её не получает.	Only spies can see this chat. Other players cannot read it.	Nur Spione sehen diesen Chat. Andere Spieler können ihn nicht lesen.	Solo los espías ven este chat. Los demás no pueden leerlo.
Здесь пока пусто. Договоритесь с напарником.	Nothing here yet. Plan with your partner.	Noch leer. Sprich dich mit deinem Partner ab.	Aún está vacío. Coordínate con tu compañero.
Пока тихо. Задайте первый вопрос.	Quiet so far. Ask the first question.	Noch ruhig. Stelle die erste Frage.	Todo tranquilo. Haz la primera pregunta.
Написать своим…	Message spies…	An Spione schreiben…	Escribir a los espías…
Спросить у стола…	Ask the group…	Die Runde fragen…	Preguntar al grupo…
Вас выгнали — дальше только смотрите.	You are eliminated — watch the rest of the game.	Du bist ausgeschieden — schaue weiter zu.	Te han expulsado: sigue como espectador.
Сейчас писать сюда нельзя.	You cannot write here right now.	Du kannst hier gerade nicht schreiben.	Ahora no puedes escribir aquí.
Впишите локацию	Enter a location	Ort eingeben	Escribe un lugar
выбор режима	choose mode	Modusauswahl	elegir modo
Один или несколько игроков — соглядатаи. Остальные знают локацию. Задача горожан — вычислить соглядатая, задача соглядатая — не выдать себя и угадать место.	One or more players are spies. Everyone else knows the location. Citizens find the spies; spies stay hidden and guess the place.	Ein oder mehrere Spieler sind Spione. Die anderen kennen den Ort. Bürger finden die Spione; Spione bleiben unerkannt und erraten den Ort.	Uno o varios jugadores son espías. Los demás conocen el lugar. Los ciudadanos buscan a los espías; estos deben ocultarse y adivinar el lugar.
На одном телефоне	On one phone	Auf einem Handy	En un teléfono
Передавайте устройство по кругу. Ничего настраивать не нужно.	Pass the phone around. No setup needed.	Gebt das Handy im Kreis weiter. Keine Einrichtung nötig.	Pasad el teléfono por turnos. No hace falta configurar nada.
Онлайн, у каждого свой телефон	Online, each with a phone	Online, jeder mit eigenem Handy	En línea, cada uno en su teléfono
Комната по коду, роль видит только её хозяин, встроенный чат.	Join by code, private roles and built-in chat.	Raum per Code, geheime Rollen und integrierter Chat.	Sala con código, roles privados y chat integrado.
Загружаем онлайн-режим…	Loading online mode…	Onlinemodus wird geladen…	Cargando modo en línea…
